,Family,Order,Clade,Clade_2,Clade_3_for_arcs,Genus,Species,Nectary,Structured,Source,URL,Placement,Developmental.stage,Hydathode,Aerophore,Notes,Herbarium,Leaf_area_ellipse_mm,Growth_habit_E1_T0,rhizome_form,Rhizome_form_dual_state,rhizome_diamter_mm,Stipe_diamter_mm,Root_diam_mm,internode.length_mm,HC_reduced_states_no_soldic,Growth_habit_E1_T0_Arb2_climb_3
3345,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Leptopteris,Leptopteris_hymenophylloides,NA,NA,,,,,NA,,,,42411.6,NA,NA,NA,NA,NA,,,Solenostele,NA
3346,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Leptopteris,Leptopteris_superba,NA,NA,,,,,NA,,,,24740.1,NA,NA,NA,NA,NA,,,Solenostele,NA
3347,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Leptopteris,Leptopteris_wilkesiana,NA,NA,,,,,NA,,,,45945.9,NA,NA,NA,NA,NA,,,Solenostele,NA
4140,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Osmunda,Osmunda_hybrida,NA,NA,,,,,NA,,,,23562,0,NA,NA,NA,NA,,,Solenostele,0
4141,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Osmunda,Osmunda_japonica,NA,NA,,,,,NA,,,,5105.1,0,dictyostelic,non-rhizomatous,NA,NA,,,Solenostele,0
4142,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Osmunda,Osmunda_lancea,NA,NA,,,,,NA,,,,5105.1,0,NA,NA,NA,NA,,,Solenostele,0
4143,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Osmunda,Osmunda_regalis,NA,NA,,,,,NA,,,,29354.325,0,NA,NA,NA,NA,,,Solenostele,0
4144,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Osmunda,Osmunda_spectabilis,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4145,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Osmundastrum,Osmundastrum_cinnamomeum,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5476,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Todea,Todea_barbara,NA,NA,,,,,NA,,,,207345.6,0,NA,NA,NA,NA,,,Solenostele,0
5477,Osmundaceae,Osmundales,Osmundales,Osmundales,Osmundales,Todea,Todea_papuana,NA,NA,,,,,NA,,,,188400,0,NA,NA,NA,NA,,,Solenostele,0
727,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_abscissum,No,NA,"Nelson et al., 2018",,,,NA,,,,653.8455,0,erect,non-rhizomatous,NA,NA,,,Dictyostele,0
728,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_actiniopteroides,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
729,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_acuminatum,No,NA,"Nelson et al., 2018",,,,NA,,,,1055.5776,0,NA,NA,NA,NA,,,Dictyostele,0
730,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_acutiusculum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_adiantum-nigrum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_adulterinum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_aegaeum,No,NA,"Nelson et al., 2018",,,,NA,,,,117.81,0,NA,NA,NA,NA,,,Dictyostele,0
734,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_aethiopicum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_affine,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_alatulum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_alatum,No,NA,"Nelson et al., 2018",,,,NA,,,,1649.34,0,NA,NA,NA,NA,,,Dictyostele,0
738,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_altajense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_amboinense,No,NA,"Nelson et al., 2018",,,,NA,,,,3769.92,1,NA,NA,NA,NA,,,Dictyostele,1
740,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_anceps,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,erect,non-rhizomatous,NA,NA,,0.1mm,Dictyostele,0
741,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_angustum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
742,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_anisophyllum,No,NA,"Nelson et al., 2018",,,,NA,,,,10308.375,0,NA,NA,NA,NA,,,Dictyostele,0
743,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_annobonense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_anogrammoides,No,NA,"Nelson et al., 2018",,,,NA,,,,746.13,0,erect,non-rhizomatous,NA,NA,,0.1mm,Dictyostele,0
745,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_antiquum,No,NA,"Nelson et al., 2018",,,,NA,,,,4466.9625,1,erect,non-rhizomatous,NA,NA,,0.1mm,Dictyostele,1
746,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_antrophyoides,No,NA,"Nelson et al., 2018",,,,NA,,,,2207.8,1,erect,non-rhizomatous,NA,NA,,0.1mm,Dictyostele,1
747,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_appendiculatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_aran-tohanum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_athertonense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,1,NA,NA,NA,NA,,,Dictyostele,1
750,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_attenuatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
751,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_aureum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
752,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_auriculatum,No,NA,"Nelson et al., 2018",,,,NA,,,,824.67,1,NA,NA,NA,NA,,,Dictyostele,1
753,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_auritum,No,NA,"Nelson et al., 2018",,,,NA,,,,975.4668,1,erect,non-rhizomatous,NA,NA,,0.1mm,Dictyostele,1
754,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_australasicum,No,NA,"Nelson et al., 2018",,,,NA,,,,14137.2,1,NA,NA,NA,NA,,,Dictyostele,1
755,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_austrochinense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,,,Dictyostele,NA
756,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_azoricum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
757,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_baileyanum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
758,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_balearicum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
759,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bangii,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_barteri,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bicentenniale,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
762,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bipartitum,No,NA,"Nelson et al., 2018",,,,NA,,,,687.225,1,NA,NA,NA,NA,,,Dictyostele,1
763,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bipinnatifidum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,1,NA,NA,NA,NA,,,Dictyostele,1
764,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_blastophorum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
765,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_boltonii,No,NA,"Nelson et al., 2018",,,,NA,,,,3534.3,0,NA,NA,NA,NA,,,Dictyostele,0
766,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_boreale,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,erect,non-rhizomatous,NA,NA,,,Dictyostele,0
767,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bourgaei,No,NA,"Nelson et al., 2018",,,,NA,,,,247.401,1,NA,NA,NA,NA,,,Dictyostele,1
768,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bulbiferum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
769,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_bullatum,No,NA,"Nelson et al., 2018",,,,NA,,,,16650.48,0,erect,non-rhizomatous,NA,NA,,0.1mm,Dictyostele,0
770,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_capillipes,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_capitisyork,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
772,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_carnarvonense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
773,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_carruthersii,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
774,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_castaneoviride,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_castaneum,No,NA,"Nelson et al., 2018",,,,NA,,,,464.9568,0,NA,NA,NA,NA,,,Dictyostele,0
776,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_caudatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_celtibericum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
778,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_ceterach,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_chasmophilum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_chathamense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
781,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_christii,No,NA,"Nelson et al., 2018",,,,NA,,,,10053.12,0,NA,NA,NA,NA,,,Dictyostele,0
782,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_ciliatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
783,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cimmeriorum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
784,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cirrhatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
785,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_claussenii,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_coenobiale,No,NA,"Nelson et al., 2018",,,,NA,,,,1178.1,0,erect,non-rhizomatous,NA,NA,,,Dictyostele,0
787,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_compressum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
788,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_confusum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
789,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_contiguum,No,NA,"Nelson et al., 2018",,,,NA,,,,4930.3485,1,long creeping,rhizomatous,5.5,NA,,,Dictyostele,1
790,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cordatum,No,NA,"Nelson et al., 2018",,,,NA,,,,2085.237,0,NA,NA,NA,NA,,,Dictyostele,0
791,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cornutissimum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_correardii,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_crinicaule,No,NA,"Nelson et al., 2018",,,,NA,,,,1354.815,1,erect,non-rhizomatous,NA,NA,,,Dictyostele,1
794,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cristatum,No,NA,"Nelson et al., 2018",,,,NA,,,,2536.842,0,NA,NA,NA,NA,,,Dictyostele,0
795,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cuneatiforme,No,NA,"Nelson et al., 2018",,,,NA,,,,2807.805,0,ascending or short creeping,non-rhizomatous,NA,NA,,,Dictyostele,0
796,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cuneatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
797,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cuneifolium,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_currorii,No,NA,"Nelson et al., 2018",,,,NA,,,,962.115,1,NA,NA,NA,NA,,,Dictyostele,1
799,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cuspidatum,No,NA,"Nelson et al., 2018",,,,NA,,,,2163.777,1,NA,NA,NA,NA,,,Dictyostele,1
800,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cymbifolium,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,1,NA,NA,NA,NA,,,Dictyostele,1
801,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cyprium,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
802,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_cyrtosorum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dalhousiae,No,NA,"Nelson et al., 2018",,,,NA,,,,309.25125,0,erect,non-rhizomatous,NA,NA,,,Dictyostele,0
804,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dareoides,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,1,NA,NA,NA,NA,,,Dictyostele,1
805,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_daucifolium,No,NA,"Nelson et al., 2018",,,,NA,,,,7696.92,0,NA,NA,NA,NA,,,Dictyostele,0
806,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_delavayi,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dielerectum,No,NA,"Nelson et al., 2018",,,,NA,,,,3004.155,0,NA,NA,NA,NA,,,Dictyostele,0
808,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dielfalcatum,No,NA,"Nelson et al., 2018",,,,NA,,,,3693.3435,0,ascending,non-rhizomatous,NA,NA,,,Dictyostele,0
809,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_diellaciniatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dielmannii,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dielpallidum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_difforme,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
813,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dimorphum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
814,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dissectum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dognyense,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
816,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_dregeanum,No,NA,"Nelson et al., 2018",,,,NA,,,,1380.3405,0,NA,NA,NA,NA,,,Dictyostele,0
817,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_elliottii,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
818,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_elmeri,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_emarginatum,No,NA,"Nelson et al., 2018",,,,NA,,,,1183.9905,0,NA,NA,NA,NA,,,Dictyostele,0
820,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_ensiforme,No,NA,"Nelson et al., 2018",,,,NA,,,,573.342,1,erect,non-rhizomatous,NA,NA,,,Dictyostele,1
821,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_erectum,No,NA,"Nelson et al., 2018",,,,NA,,,,1668.975,0,NA,NA,NA,NA,,,Dictyostele,0
822,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_erosum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_excelsum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_exiguum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_falcatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_feei,No,NA,"Nelson et al., 2018",,,,NA,,,,6197.78775,1,NA,NA,NA,NA,,,Dictyostele,1
827,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_fibrillosum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
828,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_filidens,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,0,NA,NA,NA,NA,,,Dictyostele,0
829,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_finlaysonianum,No,NA,"Nelson et al., 2018",,,,NA,,,,5026.56,1,erect,non-rhizomatous,NA,NA,,,Dictyostele,1
830,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_fissum,No,NA,"Nelson et al., 2018",,,,NA,,,,1235.0415,0,NA,NA,NA,NA,,,Dictyostele,0
831,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_flabellifolium,No,NA,"Nelson et al., 2018",,,,NA,,,,416.262,0,NA,NA,NA,NA,,,Dictyostele,0
832,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_flabellulatum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_flaccidum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_fontanum,No,NA,"Nelson et al., 2018",,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,Aspleniaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Asplenium,Asplenium_foreziense,No,NA,"Nelson et al., 2018",,,,NA,,,,235.62,0,erect,non-rhizomatous,NA,NA,,,Dictyostele,0
